,datetime,name,tempmax,tempmin,temp温度,feelslikemax,feelslikemin,feelslike（体感温度）,dew,"humidity
（湿度）","precip
（降水）","precipprob 
（降水概率）","precipcover
（降水覆盖范围）","preciptype
（降水类型）",snow,snowdepth,"windgust
（阵风）","windspeed
（风速）","winddir
（风向）","sealevelpressure
（海平面气压）","cloudcover
（云量）","visibility
（能见度）","solar radiation
（太阳辐射）","solar energy
（太阳辐射能）","uvindex
（紫外线）","severerisk
（严重风险）","sunrise
（日出时间）","sunset
（日落时间）","moon phase
（月相）","conditions
（气象条件）","description
（描述）","icon
（气象图标）","stations
（气象观测站位置）"
1,2013/1/1,Beijing,-2.9,-10.9,-6.8,-4.6,-19.8,-13.3,-20.7,36.9,0,0,0,,,,46.8,32.4,330.7,1023.9,18.1,14.7,119.4,10.3,5,,2013-01-01T07:36:07,2013-01-01T16:59:56,0.63,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,remote,54511099999"
2,2013/1/2,Beijing,-7.4,-13,-10.4,-15.7,-23.2,-19.5,-27.5,23.3,0,0,0,,,,43.2,39.6,319.7,1039.5,1.3,16.7,120.3,10.3,5,,2013-01-02T07:36:14,2013-01-02T17:00:46,0.66,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
3,2013/1/3,Beijing,-5,-13,-9.7,-8.3,-22.5,-15.9,-24.6,29.9,0,0,0,,,,,36,343.6,1043.6,0,15.2,120.9,10.4,5,,2013-01-03T07:36:18,2013-01-03T17:01:38,0.7,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
4,2013/1/4,Beijing,-2.9,-17,-10.4,-3.9,-22.3,-14,-20.8,45.5,0,0,0,,,,,10.8,324.8,1033.1,0,9.7,111.5,9.5,5,,2013-01-04T07:36:20,2013-01-04T17:02:31,0.73,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
5,2013/1/5,Beijing,0,-14,-7.6,-3.2,-22.4,-11.8,-20.6,37.6,0,0,0,,,,,18,11.3,1029,24.5,10.4,117.3,10.1,5,,2013-01-05T07:36:21,2013-01-05T17:03:25,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
6,2013/1/6,Beijing,-0.9,-13,-6.9,-3.6,-21.2,-10.8,-17.5,45.4,0,0,0,,,,,18,321.6,1027.9,16.4,9.5,112.8,9.5,5,,2013-01-06T07:36:19,2013-01-06T17:04:21,0.8,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
7,2013/1/7,Beijing,1,-14,-6.9,1,-20.3,-9.2,-15.7,53.4,0,0,0,,,,,14.4,357.3,1025.4,17.6,8.4,108.4,9.2,5,,2013-01-07T07:36:14,2013-01-07T17:05:18,0.84,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
8,2013/1/8,Beijing,-1.9,-11.9,-6.5,-7,-17.9,-11.2,-17.6,46.4,0,0,0,,,,43.2,36,329.2,1031,7.7,11.4,116.2,10,5,,2013-01-08T07:36:08,2013-01-08T17:06:16,0.87,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
9,2013/1/9,Beijing,1,-13,-6.8,-1,-19,-10.1,-19.2,38.9,0,0,0,,,,,18,301.7,1030.8,0,14.3,118.1,10.2,5,,2013-01-09T07:35:59,2013-01-09T17:07:16,0.91,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
10,2013/1/10,Beijing,-2.9,-14,-7.8,-3.9,-20.3,-10,-12.6,69.6,0,0,0,,,,,14.4,73.7,1027.9,21.7,5.9,100.9,8.7,4,,2013-01-10T07:35:48,2013-01-10T17:08:17,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
