datetime,Unnamed: 0,name,tempmax,tempmin,temp,humidity,precip,preciptype,snowdepth,windgust,windspeed,winddir,sealevelpressure,description,icon,年,月,日,季度
2018-01-16,16,Beijing,5.3,-5.0,0.6,39.5,0.0,,,39.6,27.2,331.7,1019.4,Partly cloudy throughout the day.,partly-cloudy-day,2018,1,16,1
2018-01-31,31,Beijing,4.0,-5.2,0.1,21.1,0.0,,,52.2,28.8,302.5,1029.3,Clear conditions throughout the day.,clear-day,2018,1,31,1
2018-02-14,45,Beijing,5.0,-5.0,0.6,24.9,0.0,,,57.6,25.4,19.4,1020.9,Partly cloudy throughout the day.,partly-cloudy-day,2018,2,14,1
2018-02-19,50,Beijing,6.0,-5.0,0.4,63.8,0.0,,,48.6,7.2,117.2,1025.5,Partly cloudy throughout the day.,partly-cloudy-day,2018,2,19,1
2018-02-20,51,Beijing,8.0,-3.0,2.4,33.9,0.0,,,46.8,21.6,320.7,1027.3,Partly cloudy throughout the day.,partly-cloudy-day,2018,2,20,1
2018-02-21,52,Beijing,9.1,-7.9,1.7,32.0,0.0,,,44.4,21.6,239.0,1023.8,Partly cloudy throughout the day.,partly-cloudy-day,2018,2,21,1
2018-02-23,54,Beijing,13.0,-7.0,2.8,30.5,0.0,,,39.6,25.2,23.9,1018.8,Partly cloudy throughout the day.,partly-cloudy-day,2018,2,23,1
2018-02-26,57,Beijing,11.0,-6.0,2.5,50.6,0.0,,,59.04,12.7,48.0,1018.6,Partly cloudy throughout the day.,partly-cloudy-day,2018,2,26,1
2018-02-27,58,Beijing,5.0,-4.0,1.3,67.2,0.0,,,65.52,10.8,144.1,1022.3,Partly cloudy throughout the day.,partly-cloudy-day,2018,2,27,1
2018-03-02,61,Beijing,9.2,-2.0,2.9,36.3,0.0,,,63.45,10.8,133.6,1009.8,Partly cloudy throughout the day.,partly-cloudy-day,2018,3,2,1
2018-03-03,62,Beijing,9.5,-2.0,4.9,60.1,0.0,,,58.5,9.1,52.4,1005.7,Partly cloudy throughout the day.,partly-cloudy-day,2018,3,3,1
2018-03-04,63,Beijing,9.0,-1.0,5.3,42.8,0.0,,,53.550000000000004,18.0,137.8,1019.7,Partly cloudy throughout the day.,partly-cloudy-day,2018,3,4,1
2018-03-05,64,Beijing,8.5,-6.0,1.1,47.0,0.0,,,48.6,21.6,165.8,1028.8,Partly cloudy throughout the day.,partly-cloudy-day,2018,3,5,1
2018-03-08,67,Beijing,7.0,-4.0,1.8,37.4,0.0,,,33.74999999999999,21.6,154.4,1031.9,Clear conditions throughout the day.,clear-day,2018,3,8,1
2018-03-09,68,Beijing,9.0,-7.0,1.7,50.3,0.0,,,28.8,14.4,153.4,1022.7,Partly cloudy throughout the day.,partly-cloudy-day,2018,3,9,1
2018-03-10,69,Beijing,13.0,-2.0,5.1,46.9,0.0,,,27.900000000000002,18.0,126.9,1021.9,Clear conditions throughout the day.,clear-day,2018,3,10,1
2018-03-11,70,Beijing,7.0,-5.0,2.8,49.6,0.0,,,27.0,7.4,100.4,1023.4,Partly cloudy throughout the day.,partly-cloudy-day,2018,3,11,1
2018-03-12,71,Beijing,12.0,-2.0,5.9,57.3,0.0,,,26.1,14.4,170.8,1013.1,Clear conditions throughout the day.,clear-day,2018,3,12,1
2018-03-13,72,Beijing,19.0,-1.0,9.1,53.9,0.0,,,25.2,10.8,37.1,1008.8,Partly cloudy throughout the day.,partly-cloudy-day,2018,3,13,1
2018-03-14,73,Beijing,14.3,4.0,10.9,66.0,0.0,,,25.2,18.0,60.2,1008.8,Partly cloudy throughout the day.,partly-cloudy-day,2018,3,14,1
2018-03-16,75,Beijing,10.0,-2.0,4.3,45.1,0.0,,,45.0,18.0,185.1,1031.1,Partly cloudy throughout the day.,partly-cloudy-day,2018,3,16,1
2018-03-17,76,Beijing,3.0,0.0,1.3,74.9,3.7,"rain,snow",,39.6,10.8,126.5,1025.5,Cloudy skies throughout the day with rain or snow.,precipitation,2018,3,17,1
2018-03-18,77,Beijing,12.0,-1.0,5.4,73.1,0.0,,,34.199999999999996,10.8,137.7,1022.9,Partly cloudy throughout the day.,partly-cloudy-day,2018,3,18,1
2018-03-19,78,Beijing,15.0,1.0,8.3,51.1,0.0,,,28.8,14.4,99.4,1025.1,Partly cloudy throughout the day.,partly-cloudy-day,2018,3,19,1
2018-03-20,79,Beijing,11.0,1.0,7.4,21.2,0.0,,,30.6,18.0,80.2,1028.8,Cloudy skies throughout the day.,overcast,2018,3,20,1
2018-03-21,80,Beijing,11.0,-3.0,5.1,37.3,0.0,,,32.4,14.4,191.3,1022.2,Partly cloudy throughout the day.,partly-cloudy-day,2018,3,21,1
2018-03-22,81,Beijing,19.0,-1.0,9.5,38.4,0.0,,,32.4,16.3,168.4,1013.5,Clearing in the afternoon.,partly-cloudy-day,2018,3,22,1
2018-03-23,82,Beijing,21.0,5.0,12.2,41.4,0.0,,,32.4,10.8,5.4,1014.1,Partly cloudy throughout the day.,partly-cloudy-day,2018,3,23,1
2018-03-24,83,Beijing,24.0,2.0,14.2,39.1,0.0,,,43.2,21.6,226.2,1020.6,Clear conditions throughout the day.,clear-day,2018,3,24,1
2018-03-25,84,Beijing,27.0,2.0,16.5,29.0,0.0,,,39.6,18.0,233.2,1017.5,Clear conditions throughout the day.,clear-day,2018,3,25,1
2018-03-26,85,Beijing,24.4,6.0,16.0,43.6,0.0,,,42.4,14.8,186.9,1012.4,Clear conditions throughout the day.,clear-day,2018,3,26,1
2018-03-27,86,Beijing,24.5,8.0,16.4,57.9,0.0,,,45.2,14.4,88.5,1005.7,Clear conditions throughout the day.,clear-day,2018,3,27,1
2018-03-28,87,Beijing,23.1,14.0,19.2,36.3,0.0,,,48.0,21.6,156.8,1011.8,Partly cloudy throughout the day.,partly-cloudy-day,2018,3,28,1
2018-03-29,88,Beijing,20.0,10.0,15.2,31.2,0.0,,,50.8,25.2,160.1,1024.0,Partly cloudy throughout the day.,partly-cloudy-day,2018,3,29,1
2018-03-30,89,Beijing,18.0,6.0,12.5,29.1,0.0,,,53.6,18.0,163.5,1022.1,Partly cloudy throughout the day.,partly-cloudy-day,2018,3,30,1
2018-03-31,90,Beijing,24.0,9.0,15.8,33.8,0.0,,,56.4,14.4,115.1,1013.5,Partly cloudy throughout the day.,partly-cloudy-day,2018,3,31,1
2018-04-01,91,Beijing,27.0,8.0,17.3,55.7,0.0,,,59.199999999999996,18.0,144.7,1009.1,Clear conditions throughout the day.,clear-day,2018,4,1,2
2018-04-02,92,Beijing,25.0,11.0,18.1,66.6,0.0,,,62.0,21.6,87.0,1006.1,Partly cloudy throughout the day.,partly-cloudy-day,2018,4,2,2
2018-04-04,94,Beijing,9.0,0.0,4.1,75.0,5.1,"rain,snow",,61.199999999999996,14.7,146.2,1028.1,Partly cloudy throughout the day with rain or snow.,precipitation,2018,4,4,2
2018-04-08,98,Beijing,20.0,1.0,11.3,34.7,0.0,,,75.6,19.9,168.2,1010.4,Becoming cloudy in the afternoon.,partly-cloudy-day,2018,4,8,2
2018-04-09,99,Beijing,19.0,5.0,13.2,42.0,0.0,,,81.0,14.4,116.7,1007.5,Partly cloudy throughout the day.,partly-cloudy-day,2018,4,9,2
2018-04-11,101,Beijing,26.0,6.0,18.2,31.3,0.0,,,46.8,21.6,247.6,1011.2,Partly cloudy throughout the day.,partly-cloudy-day,2018,4,11,2
2018-04-12,102,Beijing,22.4,10.0,16.6,27.1,0.0,,,52.233333333333334,21.6,129.4,1019.1,Partly cloudy throughout the day.,partly-cloudy-day,2018,4,12,2
2018-04-13,103,Beijing,15.0,9.8,11.4,66.0,6.0,rain,,57.666666666666664,21.6,167.1,1021.7,Partly cloudy throughout the day with rain.,precipitation,2018,4,13,2
2018-04-15,105,Beijing,22.0,4.0,15.4,22.7,0.0,,,54.06666666666667,23.6,233.1,1017.7,Clear conditions throughout the day.,clear-day,2018,4,15,2
2018-04-16,106,Beijing,24.0,4.0,16.3,40.2,0.0,,,45.03333333333333,25.2,183.2,1014.9,Clear conditions throughout the day.,clear-day,2018,4,16,2
2018-04-17,107,Beijing,24.0,12.0,17.7,51.9,0.0,,,36.0,18.0,175.6,1011.8,Partly cloudy throughout the day.,partly-cloudy-day,2018,4,17,2
2018-04-18,108,Beijing,26.0,13.0,19.5,60.0,0.0,,,34.2,18.0,179.2,1007.9,Partly cloudy throughout the day.,partly-cloudy-day,2018,4,18,2
2018-04-19,109,Beijing,27.0,13.0,20.9,63.5,0.0,,,32.4,21.6,114.9,1010.0,Partly cloudy throughout the day.,partly-cloudy-day,2018,4,19,2
2018-04-20,110,Beijing,29.0,12.0,21.4,55.9,0.0,,,37.8,18.0,133.7,1009.1,Partly cloudy throughout the day.,partly-cloudy-day,2018,4,20,2
2018-04-22,112,Beijing,14.6,10.7,12.6,61.2,1.2,rain,,46.8,25.2,20.0,1020.0,Cloudy skies throughout the day with rain clearing later.,precipitation,2018,4,22,2
2018-04-23,113,Beijing,20.0,10.2,14.4,61.6,1.0,rain,,36.0,18.0,18.1,1020.3,Partly cloudy throughout the day with early morning rain.,precipitation,2018,4,23,2
2018-04-24,114,Beijing,24.0,8.0,17.0,45.2,0.0,,,28.8,16.3,331.0,1019.7,Partly cloudy throughout the day.,partly-cloudy-day,2018,4,24,2
2018-04-25,115,Beijing,26.0,7.8,17.9,47.0,0.0,,,39.6,21.6,201.2,1014.1,Partly cloudy throughout the day.,partly-cloudy-day,2018,4,25,2
2018-04-26,116,Beijing,28.0,10.0,19.4,55.8,0.0,,,39.6,10.8,120.2,1010.2,Clear conditions throughout the day.,clear-day,2018,4,26,2
2018-04-27,117,Beijing,26.0,12.0,20.2,46.0,0.0,,,39.6,25.2,190.7,1017.3,Clear conditions throughout the day.,clear-day,2018,4,27,2
2018-04-28,118,Beijing,28.0,11.5,20.6,57.5,0.0,,,40.800000000000004,14.4,146.7,1009.2,Clear conditions throughout the day.,clear-day,2018,4,28,2
2018-04-29,119,Beijing,28.0,15.0,22.4,63.1,0.0,,,42.0,14.4,89.2,1003.8,Partly cloudy throughout the day.,partly-cloudy-day,2018,4,29,2
2018-04-30,120,Beijing,24.0,16.0,20.5,54.4,0.0,,,43.2,21.6,150.2,1012.3,Partly cloudy throughout the day.,partly-cloudy-day,2018,4,30,2
2018-05-01,121,Beijing,22.0,13.0,17.4,60.6,0.9,rain,0.0,32.4,21.8,40.7,1014.4,Partly cloudy throughout the day with late afternoon rain.,precipitation,2018,5,1,2
2018-05-02,122,Beijing,24.0,10.0,18.5,40.0,0.0,,0.0,32.4,18.0,336.6,1016.0,Becoming cloudy in the afternoon.,partly-cloudy-day,2018,5,2,2
2018-05-03,123,Beijing,24.0,8.0,17.7,29.8,0.0,,0.0,32.4,21.6,85.4,1015.9,Clear conditions throughout the day.,clear-day,2018,5,3,2
2018-05-04,124,Beijing,27.0,9.0,19.1,46.8,0.0,,0.0,37.8,14.4,185.3,1008.0,Partly cloudy throughout the day.,partly-cloudy-day,2018,5,4,2
2018-05-05,125,Beijing,26.0,16.0,21.3,40.1,0.0,,0.0,43.2,25.2,26.3,1007.9,Partly cloudy throughout the day.,partly-cloudy-day,2018,5,5,2
2018-05-06,126,Beijing,29.0,12.0,21.0,44.9,0.0,,0.0,39.6,21.6,212.2,1008.8,Partly cloudy throughout the day.,partly-cloudy-day,2018,5,6,2
2018-05-07,127,Beijing,27.0,15.0,21.3,44.4,0.0,,0.0,36.0,21.6,141.8,1010.5,Partly cloudy throughout the day.,partly-cloudy-day,2018,5,7,2
2018-05-08,128,Beijing,26.0,11.1,19.8,36.8,0.0,,0.0,32.4,18.0,165.6,1017.4,Partly cloudy throughout the day.,partly-cloudy-day,2018,5,8,2
2018-05-09,129,Beijing,28.0,12.0,20.3,39.1,0.0,,0.0,36.0,21.6,164.3,1019.2,Partly cloudy throughout the day.,partly-cloudy-day,2018,5,9,2
2018-05-10,130,Beijing,27.0,15.0,21.6,52.0,0.0,,0.0,35.1,14.4,156.4,1015.2,Partly cloudy throughout the day.,partly-cloudy-day,2018,5,10,2
2018-05-11,131,Beijing,22.0,18.9,20.3,62.2,0.0,,0.0,34.2,10.8,114.9,1010.9,Partly cloudy throughout the day.,partly-cloudy-day,2018,5,11,2
2018-05-12,132,Beijing,25.0,16.0,19.5,72.9,0.0,,0.0,33.3,25.2,103.3,1006.6,Partly cloudy throughout the day.,partly-cloudy-day,2018,5,12,2
2018-05-13,133,Beijing,29.0,13.0,21.4,62.0,0.0,,0.0,32.4,14.6,121.0,1003.8,Becoming cloudy in the afternoon.,partly-cloudy-day,2018,5,13,2
2018-05-14,134,Beijing,33.0,19.8,26.1,57.5,0.0,,0.0,31.5,18.0,151.0,999.6,Partly cloudy throughout the day.,partly-cloudy-day,2018,5,14,2
2018-05-15,135,Beijing,30.0,20.8,25.0,68.8,0.0,,0.0,30.6,16.3,120.0,999.0,Partly cloudy throughout the day.,partly-cloudy-day,2018,5,15,2
2018-05-16,136,Beijing,29.0,20.8,24.4,76.1,0.0,,0.0,29.7,12.7,106.2,998.6,Partly cloudy throughout the day.,partly-cloudy-day,2018,5,16,2
2018-05-17,137,Beijing,24.0,20.0,22.1,74.5,0.5,rain,0.0,28.8,14.4,352.0,1004.7,Partly cloudy throughout the day with afternoon rain.,precipitation,2018,5,17,2
2018-05-18,138,Beijing,30.0,20.0,24.0,50.3,0.0,,0.0,41.4,14.6,109.1,1009.8,Clear conditions throughout the day.,clear-day,2018,5,18,2
2018-05-19,139,Beijing,28.0,16.0,21.8,52.6,1.0,rain,0.0,54.0,28.8,164.6,1014.0,Partly cloudy throughout the day with late afternoon rain.,precipitation,2018,5,19,2
2018-05-20,140,Beijing,19.0,16.0,17.6,73.2,0.6,rain,0.0,58.800000000000004,11.0,117.1,1017.1,Partly cloudy throughout the day with rain.,precipitation,2018,5,20,2
2018-05-23,143,Beijing,32.0,8.0,21.3,35.9,0.0,,0.0,50.4,28.8,205.3,1004.8,Clear conditions throughout the day.,clear-day,2018,5,23,2
2018-05-24,144,Beijing,34.0,13.0,24.6,49.5,0.0,,0.0,45.6,21.6,183.9,1000.9,Partly cloudy throughout the day.,partly-cloudy-day,2018,5,24,2
2018-05-25,145,Beijing,32.0,16.0,24.8,53.5,0.0,,0.0,40.8,18.0,160.3,1002.2,Partly cloudy throughout the day.,partly-cloudy-day,2018,5,25,2
2018-05-27,147,Beijing,34.0,16.0,26.4,32.7,0.0,,0.0,45.0,25.2,197.7,1006.0,Clear conditions throughout the day.,clear-day,2018,5,27,2
