date,humidity
2013-01-01,36.9
2013-01-02,23.3
2013-01-03,29.9
2013-01-04,45.5
2013-01-05,37.6
2013-01-06,45.4
2013-01-07,53.4
2013-01-08,46.4
2013-01-09,38.9
2013-01-10,69.6
2013-01-11,74.6
2013-01-12,82.7
2013-01-13,78.5
2013-01-14,80.7
2013-01-15,80.7
2013-01-16,52.1
2013-01-17,41.4
2013-01-18,63.1
2013-01-19,57.3
2013-01-20,77.2
2013-01-21,76.6
2013-01-22,88.2
2013-01-23,89.5
2013-01-24,33.2
2013-01-25,51.0
2013-01-26,68.7
2013-01-27,84.8
2013-01-28,79.9
2013-01-29,93.7
2013-01-30,88.0
2013-01-31,92.7
2013-02-01,50.6
2013-02-02,42.3
2013-02-03,88.6
2013-02-04,52.6
2013-02-05,84.2
2013-02-06,54.4
2013-02-07,27.1
2013-02-08,38.6
2013-02-09,53.5
2013-02-10,29.3
2013-02-11,49.2
2013-02-12,53.6
2013-02-13,74.6
2013-02-14,33.7
2013-02-15,37.6
2013-02-16,61.2
2013-02-17,53.7
2013-02-18,30.3
2013-02-19,28.1
2013-02-20,46.9
2013-02-21,73.5
2013-02-22,37.0
2013-02-23,40.1
2013-02-24,56.8
2013-02-25,75.2
2013-02-26,66.2
2013-02-27,51.9
2013-02-28,47.7
2013-03-01,16.2
2013-03-02,29.1
2013-03-03,34.3
2013-03-04,20.6
2013-03-05,36.4
2013-03-06,43.6
2013-03-07,53.0
2013-03-08,50.3
2013-03-09,33.9
2013-03-10,25.6
2013-03-11,40.3
2013-03-12,77.8
2013-03-13,34.6
2013-03-14,59.3
2013-03-15,65.0
2013-03-16,58.4
2013-03-17,65.0
2013-03-18,32.0
2013-03-19,76.8
2013-03-20,72.7
2013-03-21,62.7
2013-03-22,43.1
2013-03-23,50.3
2013-03-24,24.5
2013-03-25,44.7
2013-03-26,53.5
2013-03-27,47.1
2013-03-28,20.3
2013-03-29,46.6
2013-03-30,51.0
2013-03-31,79.7
2013-04-01,45.8
2013-04-02,41.6
2013-04-03,45.9
2013-04-04,54.9
2013-04-05,58.1
2013-04-06,30.6
2013-04-07,46.2
2013-04-08,23.7
2013-04-09,22.7
2013-04-10,23.2
2013-04-11,20.2
2013-04-12,28.6
2013-04-13,35.5
2013-04-14,21.9
2013-04-15,42.5
2013-04-16,39.5
2013-04-17,39.7
2013-04-18,16.4
2013-04-19,53.6
2013-04-20,57.0
2013-04-21,56.3
2013-04-22,65.0
2013-04-23,74.1
2013-04-24,48.9
2013-04-25,19.9
2013-04-26,30.9
2013-04-27,34.1
2013-04-28,45.6
2013-04-29,16.9
2013-04-30,14.0
2013-05-01,34.3
2013-05-02,39.4
2013-05-03,51.3
2013-05-04,46.2
2013-05-05,55.6
2013-05-06,59.0
2013-05-07,55.8
2013-05-08,54.7
2013-05-09,68.0
2013-05-10,44.6
2013-05-11,29.9
2013-05-12,18.9
2013-05-13,40.5
2013-05-14,26.1
2013-05-15,38.3
2013-05-16,49.6
2013-05-17,59.4
2013-05-18,64.2
2013-05-19,46.6
2013-05-20,22.6
2013-05-21,43.3
2013-05-22,38.6
2013-05-23,45.2
2013-05-24,60.6
2013-05-25,54.4
2013-05-26,78.8
2013-05-27,77.9
2013-05-28,77.6
2013-05-29,21.3
2013-05-30,35.4
2013-05-31,49.4
2013-06-01,42.4
2013-06-02,68.0
2013-06-03,52.6
2013-06-04,73.2
2013-06-05,91.0
2013-06-06,91.9
2013-06-07,89.2
2013-06-08,90.4
2013-06-09,88.2
2013-06-10,72.5
2013-06-11,69.6
2013-06-12,66.1
2013-06-13,60.2
2013-06-14,45.5
2013-06-15,54.0
2013-06-16,77.7
2013-06-17,59.1
