date,temperature
2013-01-01,-6.8
2013-01-02,-10.4
2013-01-03,-9.7
2013-01-04,-10.4
2013-01-05,-7.6
2013-01-06,-6.9
2013-01-07,-6.9
2013-01-08,-6.5
2013-01-09,-6.8
2013-01-10,-7.8
2013-01-11,-3.9
2013-01-12,-7.1
2013-01-13,-3.4
2013-01-14,-4.8
2013-01-15,-4.7
2013-01-16,-4.0
2013-01-17,-3.5
2013-01-18,-4.9
2013-01-19,-2.2
2013-01-20,-2.3
2013-01-21,-1.5
2013-01-22,-6.0
2013-01-23,-5.1
2013-01-24,-0.7
2013-01-25,-6.6
2013-01-26,-5.4
2013-01-27,-4.6
2013-01-28,-1.9
2013-01-29,-4.2
2013-01-30,-2.8
2013-01-31,-1.1
2013-02-01,-1.0
2013-02-02,-2.6
2013-02-03,-2.6
2013-02-04,-2.9
2013-02-05,-3.4
2013-02-06,-4.9
2013-02-07,-9.2
2013-02-08,-7.7
2013-02-09,-5.1
2013-02-10,-2.9
2013-02-11,-4.5
2013-02-12,-1.3
2013-02-13,-2.3
2013-02-14,0.1
2013-02-15,-1.7
2013-02-16,-1.6
2013-02-17,1.2
2013-02-18,-0.2
2013-02-19,-3.0
2013-02-20,-1.8
2013-02-21,-1.9
2013-02-22,0.8
2013-02-23,0.8
2013-02-24,0.7
2013-02-25,-0.2
2013-02-26,1.5
2013-02-27,5.0
2013-02-28,4.3
2013-03-01,0.9
2013-03-02,0.0
2013-03-03,4.1
2013-03-04,8.7
2013-03-05,6.6
2013-03-06,6.9
2013-03-07,8.0
2013-03-08,8.9
2013-03-09,7.0
2013-03-10,4.9
2013-03-11,5.7
2013-03-12,5.0
2013-03-13,3.5
2013-03-14,3.3
2013-03-15,5.1
2013-03-16,8.5
2013-03-17,8.8
2013-03-18,8.0
2013-03-19,2.1
2013-03-20,1.2
2013-03-21,3.9
2013-03-22,6.0
2013-03-23,4.3
2013-03-24,4.4
2013-03-25,4.8
2013-03-26,7.2
2013-03-27,11.0
2013-03-28,8.4
2013-03-29,5.6
2013-03-30,5.7
2013-03-31,5.4
2013-04-01,10.3
2013-04-02,9.9
2013-04-03,11.0
2013-04-04,8.4
2013-04-05,8.8
2013-04-06,8.1
2013-04-07,8.9
2013-04-08,9.4
2013-04-09,8.8
2013-04-10,8.7
2013-04-11,10.7
2013-04-12,14.0
2013-04-13,16.5
2013-04-14,11.9
2013-04-15,12.5
2013-04-16,13.9
2013-04-17,11.4
2013-04-18,10.6
2013-04-19,6.9
2013-04-20,9.2
2013-04-21,11.6
2013-04-22,12.2
2013-04-23,11.9
2013-04-24,15.4
2013-04-25,16.6
2013-04-26,16.6
2013-04-27,17.9
2013-04-28,15.9
2013-04-29,21.2
2013-04-30,20.9
2013-05-01,17.1
2013-05-02,18.4
2013-05-03,17.4
2013-05-04,19.0
2013-05-05,20.6
2013-05-06,22.9
2013-05-07,23.2
2013-05-08,20.7
2013-05-09,17.7
2013-05-10,21.4
2013-05-11,23.5
2013-05-12,22.3
2013-05-13,20.8
2013-05-14,24.6
2013-05-15,22.1
2013-05-16,21.0
2013-05-17,20.5
2013-05-18,20.8
2013-05-19,20.5
2013-05-20,21.7
2013-05-21,23.0
2013-05-22,23.0
2013-05-23,22.8
2013-05-24,23.4
2013-05-25,24.2
2013-05-26,20.7
2013-05-27,19.7
2013-05-28,20.4
2013-05-29,25.1
2013-05-30,25.9
2013-05-31,25.2
2013-06-01,25.2
2013-06-02,22.2
2013-06-03,26.0
2013-06-04,21.1
2013-06-05,19.0
2013-06-06,19.4
2013-06-07,20.7
2013-06-08,20.5
2013-06-09,18.7
2013-06-10,20.4
2013-06-11,21.0
2013-06-12,21.3
2013-06-13,24.1
2013-06-14,25.9
2013-06-15,25.5
2013-06-16,22.8
2013-06-17,25.6
2013-06-18,27.9
2013-06-19,29.2
2013-06-20,27.4
2013-06-21,26.3
2013-06-22,21.4
2013-06-23,25.6
2013-06-24,25.0
2013-06-25,22.4
2013-06-26,25.8
2013-06-27,27.8
2013-06-28,25.3
2013-06-29,23.2
2013-06-30,25.3
2013-07-01,24.9
2013-07-02,28.8
2013-07-03,30.4
2013-07-04,28.7
2013-07-05,29.2
2013-07-06,29.8
2013-07-07,27.5
2013-07-08,25.2
2013-07-09,24.3
2013-07-10,23.7
2013-07-11,25.0
2013-07-12,26.5
2013-07-13,27.4
2013-07-14,26.5
2013-07-15,24.3
2013-07-16,27.6
2013-07-17,26.9
2013-07-18,25.6
2013-07-19,26.5
2013-07-20,27.9
2013-07-21,27.4
2013-07-22,26.8
2013-07-23,27.1
2013-07-24,30.0
2013-07-25,29.9
2013-07-26,26.0
2013-07-27,24.9
2013-07-28,30.0
2013-07-29,28.6
2013-07-30,28.7
2013-07-31,26.5
2013-08-01,23.3
2013-08-02,25.9
2013-08-03,27.8
2013-08-04,27.3
2013-08-05,26.1
2013-08-06,28.6
2013-08-07,26.0
2013-08-08,28.0
2013-08-09,28.8
2013-08-10,29.2
2013-08-11,27.5
2013-08-12,26.6
2013-08-13,28.1
2013-08-14,28.4
2013-08-15,29.5
2013-08-16,28.4
2013-08-17,31.0
2013-08-18,28.3
2013-08-19,27.5
2013-08-20,26.1
2013-08-21,26.2
2013-08-22,23.9
2013-08-23,27.3
2013-08-24,26.9
2013-08-25,27.2
2013-08-26,27.2
2013-08-27,24.4
2013-08-28,23.4
2013-08-29,24.8
2013-08-30,23.0
2013-08-31,23.2
2013-09-01,23.1
2013-09-02,22.2
2013-09-03,22.7
2013-09-04,20.4
2013-09-05,20.8
2013-09-06,21.0
2013-09-07,22.2
2013-09-08,21.5
2013-09-09,21.2
2013-09-10,23.0
2013-09-11,21.8
2013-09-12,22.3
2013-09-13,19.9
2013-09-14,23.3
2013-09-15,20.8
2013-09-16,20.6
2013-09-17,20.1
2013-09-18,21.5
2013-09-19,21.7
2013-09-20,22.1
2013-09-21,22.8
2013-09-22,20.3
2013-09-23,16.3
2013-09-24,14.7
2013-09-25,16.6
2013-09-26,15.8
2013-09-27,16.3
2013-09-28,16.0
2013-09-29,17.3
2013-09-30,19.0
2013-10-01,18.1
2013-10-02,16.5
2013-10-03,15.0
2013-10-04,16.3
2013-10-05,17.1
2013-10-06,16.2
2013-10-07,18.4
2013-10-08,17.0
2013-10-09,14.9
2013-10-10,17.0
2013-10-11,14.9
2013-10-12,15.6
2013-10-13,15.1
2013-10-14,12.3
2013-10-15,9.5
2013-10-16,10.9
2013-10-17,10.6
2013-10-18,11.1
2013-10-19,14.2
2013-10-20,12.5
2013-10-21,10.9
2013-10-22,10.9
2013-10-23,10.0
2013-10-24,10.5
2013-10-25,11.7
2013-10-26,9.5
2013-10-27,8.5
2013-10-28,10.3
2013-10-29,10.0
2013-10-30,7.7
2013-10-31,7.9
2013-11-01,8.1
2013-11-02,8.4
2013-11-03,12.7
2013-11-04,9.7
2013-11-05,8.8
2013-11-06,9.8
2013-11-07,8.7
2013-11-08,6.6
2013-11-09,9.9
2013-11-10,5.0
2013-11-11,5.8
2013-11-12,6.9
2013-11-13,5.2
2013-11-14,8.7
2013-11-15,6.8
2013-11-16,8.3
2013-11-17,4.8
2013-11-18,4.7
2013-11-19,2.6
2013-11-20,3.4
2013-11-21,4.1
2013-11-22,4.5
2013-11-23,5.8
2013-11-24,6.6
