date,temperature,humidity,precip,precip_type,windspeed,sealevelpressure,conditions,year,month,quarter
2013-01-01,-6.8,36.9,0.0,rain,32.4,1023.9,Clear,2013,1,1
2013-01-02,-10.4,23.3,0.0,rain,39.6,1039.5,Clear,2013,1,1
2013-01-03,-9.7,29.9,0.0,rain,36.0,1043.6,Clear,2013,1,1
2013-01-04,-10.4,45.5,0.0,rain,10.8,1033.1,Clear,2013,1,1
2013-01-05,-7.6,37.6,0.0,rain,18.0,1029.0,Partially cloudy,2013,1,1
2013-01-06,-6.9,45.4,0.0,rain,18.0,1027.9,Clear,2013,1,1
2013-01-07,-6.9,53.4,0.0,rain,14.4,1025.4,Clear,2013,1,1
2013-01-08,-6.5,46.4,0.0,rain,36.0,1031.0,Clear,2013,1,1
2013-01-09,-6.8,38.9,0.0,rain,18.0,1030.8,Clear,2013,1,1
2013-01-10,-7.8,69.6,0.0,rain,14.4,1027.9,Partially cloudy,2013,1,1
2013-01-11,-3.9,74.6,0.0,rain,10.8,1024.2,Partially cloudy,2013,1,1
2013-01-12,-7.1,82.7,0.0,rain,7.2,1023.3,Clear,2013,1,1
2013-01-13,-3.4,78.5,0.0,rain,10.8,1024.7,Clear,2013,1,1
2013-01-14,-4.8,80.7,0.0,rain,18.0,1027.3,Partially cloudy,2013,1,1
2013-01-15,-4.7,80.7,0.0,rain,14.4,1026.4,Partially cloudy,2013,1,1
2013-01-16,-4.0,52.1,0.0,rain,21.6,1032.9,Clear,2013,1,1
2013-01-17,-3.5,41.4,0.0,rain,18.0,1037.2,Clear,2013,1,1
2013-01-18,-4.9,63.1,0.0,rain,10.8,1027.6,Clear,2013,1,1
2013-01-19,-2.2,57.3,0.0,rain,12.5,1029.5,Clear,2013,1,1
2013-01-20,-2.3,77.2,0.0,"rain,snow",10.8,1030.9,"Snow, Rain, Overcast",2013,1,1
2013-01-21,-1.5,76.6,0.0,rain,14.4,1029.0,Partially cloudy,2013,1,1
2013-01-22,-6.0,88.2,0.0,rain,10.8,1029.1,Partially cloudy,2013,1,1
2013-01-23,-5.1,89.5,0.0,rain,12.8,1019.6,Partially cloudy,2013,1,1
2013-01-24,-0.7,33.2,0.0,rain,36.0,1023.0,Clear,2013,1,1
2013-01-25,-6.6,51.0,0.0,rain,10.8,1024.0,Clear,2013,1,1
2013-01-26,-5.4,68.7,0.0,rain,14.4,1027.5,Clear,2013,1,1
2013-01-27,-4.6,84.8,0.0,rain,7.2,1027.9,Clear,2013,1,1
2013-01-28,-1.9,79.9,0.0,rain,10.8,1021.7,Partially cloudy,2013,1,1
2013-01-29,-4.2,93.7,0.0,rain,9.1,1025.6,Partially cloudy,2013,1,1
2013-01-30,-2.8,88.0,0.0,rain,10.8,1026.2,Overcast,2013,1,1
2013-01-31,-1.1,92.7,0.0,"rain,snow",14.4,1024.0,"Snow, Rain, Overcast",2013,1,1
2013-02-01,-1.0,50.6,0.0,rain,25.2,1028.2,Clear,2013,2,1
2013-02-02,-2.6,42.3,0.0,rain,10.8,1031.8,Partially cloudy,2013,2,1
2013-02-03,-2.6,88.6,0.0,"rain,snow",10.8,1021.1,"Snow, Rain, Partially cloudy",2013,2,1
2013-02-04,-2.9,52.6,0.0,rain,32.4,1028.4,Partially cloudy,2013,2,1
2013-02-05,-3.4,84.2,0.0,snow,10.8,1024.3,"Snow, Partially cloudy",2013,2,1
2013-02-06,-4.9,54.4,0.0,rain,43.2,1026.3,Clear,2013,2,1
2013-02-07,-9.2,27.1,0.0,rain,36.0,1038.2,Partially cloudy,2013,2,1
2013-02-08,-7.7,38.6,0.0,rain,18.0,1035.9,Partially cloudy,2013,2,1
2013-02-09,-5.1,53.5,0.0,rain,10.8,1026.0,Clear,2013,2,1
2013-02-10,-2.9,29.3,0.0,rain,21.6,1030.8,Partially cloudy,2013,2,1
2013-02-11,-4.5,49.2,0.0,rain,14.4,1032.8,Partially cloudy,2013,2,1
2013-02-12,-1.3,53.6,0.0,rain,25.2,1026.2,Clear,2013,2,1
2013-02-13,-2.3,74.6,0.0,rain,14.4,1022.0,Clear,2013,2,1
2013-02-14,0.1,33.7,0.0,rain,25.2,1026.6,Partially cloudy,2013,2,1
2013-02-15,-1.7,37.6,0.0,rain,21.6,1028.4,Clear,2013,2,1
2013-02-16,-1.6,61.2,0.0,rain,11.0,1022.3,Partially cloudy,2013,2,1
2013-02-17,1.2,53.7,0.0,rain,36.0,1020.4,Partially cloudy,2013,2,1
2013-02-18,-0.2,30.3,0.0,rain,21.6,1027.4,Partially cloudy,2013,2,1
2013-02-19,-3.0,28.1,0.0,rain,25.2,1029.8,Clear,2013,2,1
2013-02-20,-1.8,46.9,0.0,rain,10.8,1027.6,Clear,2013,2,1
2013-02-21,-1.9,73.5,0.0,rain,10.8,1028.3,Partially cloudy,2013,2,1
2013-02-22,0.8,37.0,0.0,rain,25.2,1029.7,Clear,2013,2,1
2013-02-23,0.8,40.1,0.0,rain,10.8,1027.7,Clear,2013,2,1
2013-02-24,0.7,56.8,0.0,rain,8.9,1026.1,Partially cloudy,2013,2,1
2013-02-25,-0.2,75.2,0.0,rain,10.8,1027.3,Partially cloudy,2013,2,1
2013-02-26,1.5,66.2,0.0,rain,14.4,1020.4,Clear,2013,2,1
2013-02-27,5.0,51.9,0.0,rain,18.0,1016.9,Clear,2013,2,1
2013-02-28,4.3,47.7,0.0,rain,50.4,1014.5,Partially cloudy,2013,2,1
2013-03-01,0.9,16.2,0.0,rain,57.6,1032.3,Clear,2013,3,1
2013-03-02,0.0,29.1,0.0,rain,14.4,1033.1,Partially cloudy,2013,3,1
2013-03-03,4.1,34.3,0.0,rain,18.0,1020.6,Clear,2013,3,1
2013-03-04,8.7,20.6,0.0,rain,25.2,1023.3,Clear,2013,3,1
2013-03-05,6.6,36.4,0.0,rain,14.4,1016.8,Clear,2013,3,1
2013-03-06,6.9,43.6,0.0,rain,14.4,1013.0,Clear,2013,3,1
2013-03-07,8.0,53.0,0.0,rain,14.4,1008.3,Clear,2013,3,1
2013-03-08,8.9,50.3,0.0,rain,28.8,1005.2,Partially cloudy,2013,3,1
2013-03-09,7.0,33.9,0.0,rain,57.6,1009.0,Partially cloudy,2013,3,1
2013-03-10,4.9,25.6,0.0,rain,21.6,1026.6,Clear,2013,3,1
2013-03-11,5.7,40.3,0.0,rain,18.0,1020.0,Clear,2013,3,1
2013-03-12,5.0,77.8,0.0,rain,10.8,1014.3,"Rain, Partially cloudy",2013,3,1
2013-03-13,3.5,34.6,0.0,rain,18.0,1028.4,Clear,2013,3,1
2013-03-14,3.3,59.3,0.0,rain,21.6,1027.8,Clear,2013,3,1
2013-03-15,5.1,65.0,0.0,rain,10.8,1020.4,Clear,2013,3,1
2013-03-16,8.5,58.4,0.0,rain,14.4,1022.6,Partially cloudy,2013,3,1
2013-03-17,8.8,65.0,0.0,rain,10.8,1008.3,Partially cloudy,2013,3,1
2013-03-18,8.0,32.0,0.0,rain,46.8,1006.6,Partially cloudy,2013,3,1
2013-03-19,2.1,76.8,0.0,rain,18.0,1014.2,"Rain, Partially cloudy",2013,3,1
2013-03-20,1.2,72.7,0.0,"rain,snow",18.0,1023.3,"Snow, Rain, Partially cloudy",2013,3,1
2013-03-21,3.9,62.7,0.0,rain,18.0,1011.0,Partially cloudy,2013,3,1
2013-03-22,6.0,43.1,0.0,rain,21.6,1017.2,Clear,2013,3,1
2013-03-23,4.3,50.3,0.0,rain,46.8,1014.2,Partially cloudy,2013,3,1
2013-03-24,4.4,24.5,0.0,rain,21.6,1022.2,Partially cloudy,2013,3,1
2013-03-25,4.8,44.7,0.0,rain,14.4,1021.3,Clear,2013,3,1
2013-03-26,7.2,53.5,0.0,rain,21.6,1013.7,Clear,2013,3,1
2013-03-27,11.0,47.1,0.0,rain,36.0,1010.3,Partially cloudy,2013,3,1
2013-03-28,8.4,20.3,0.0,rain,21.6,1021.0,Partially cloudy,2013,3,1
